WARNING: Tick-HUD samples repeated a presented frame (3 of 1600). EVERY duplicate is a ring-stop seam whose recorded skew explains the label collision, and no payload repeats, so these are distinct real iterations that share a frame LABEL. Percentiles are over the iterations and stand; the frame ids at those seams do not. Seam rows: 480,672,960.
Wrote artifacts/performance/2026-08-16_hwmath-route\r3-rows.csv
Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=1600 frames=439..2038 melonDS=1.0 sha=DE80E46BDCF1FD98 git=efe31fd0abe+dirty(11) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,117,696  1,678,208   1.50  1,225,856  1,116,608  3,918,912   100.0
FTR       305,088    309,376   1.01    293,242    174,976    343,040    27.3
STG       182,272    189,568   1.04    183,664    177,984    197,632    16.3
BG          4,352      4,416   1.01      4,325      4,032      4,544     0.4
AUD         2,816      7,104   2.52      8,867      1,216    158,592     0.3
HUD         1,088    411,264 378.00     34,911        960  2,523,200     0.1
SRC       334,272    572,992   1.71    353,367     11,136  1,234,112    29.9
MISC      108,544    181,632   1.67    114,533     83,392    330,752     9.7
OTHR      206,592    508,288   2.46    232,948     20,672    580,096    18.5
WAIT      187,264    488,320   2.61    213,473      1,472    560,256    16.8
WORK      964,608  1,387,200   1.44  1,012,383    689,024  3,637,888    86.3
SHDT        4,672     81,920  17.53     14,731          0    453,312     0.4
SWRM        1,024      1,088   1.06      1,028        768      1,216     0.1
GCRA      328,768    567,616   1.73    347,793      6,784  1,228,288    29.4
SCPU       53,568    110,528   2.06     47,901          0    141,568     4.8
SCAT        1,216      1,408   1.16      1,221          0      1,600     0.1
SPRM        1,984      2,176   1.10      4,867          0    644,032     0.2
SINT      162,304    301,120   1.86    166,430          0    959,808    14.5
SPHD       72,768    109,184   1.50     71,996          0    438,528     6.5
SPHC          640        768   1.20        631          0      1,024     0.1
WORK-H    952,000  1,229,248   1.29    977,472    680,704  1,892,864    85.2

named=992,909 (81.0% of ALL)  VBI 2:1683 3:332 4:15 5+:8 max:19 total:2038  slips=0
Wrote artifacts/performance/2026-08-16_hwmath-route\r3.json
